,connector_id,evse_id,connector_number,connector_type,power_kw
0,38494,25683,1,J1772,>8 kW
1,38358,27850,1,J1772,>8 kW
2,44144,31875,1,J1772,>8 kW
3,45088,32971,1,J1772,>8 kW
4,9643,5712,1,J1772,<8 kW
5,10954,6609,1,J1772,<8 kW
6,11767,7419,1,J1772,<8 kW
7,9796,5712,2,J1772,<8 kW
8,22605,14644,1,J1772,>8 kW
9,48409,35391,1,J1772,>8 kW
10,47628,35767,1,J1772,>8 kW
11,50085,35888,1,J1772,>8 kW
12,30380,22424,2,CHAdeMO,30 kW - 100 kW
13,30335,22539,1,Combo,30 kW - 100 kW
14,30275,22424,1,Combo,30 kW - 100 kW
15,30358,22539,2,CHAdeMO,30 kW - 100 kW
16,32485,22843,2,J1772,<8 kW
17,32486,22844,2,J1772,<8 kW
18,32487,22845,2,J1772,<8 kW
19,32672,22846,1,J1772,<8 kW
20,32489,22847,2,J1772,<8 kW
21,32490,22848,2,J1772,<8 kW
22,32491,22849,2,J1772,<8 kW
23,32492,22850,2,J1772,<8 kW
24,32677,22851,1,J1772,<8 kW
25,32494,22852,2,J1772,<8 kW
26,32509,22867,2,J1772,<8 kW
27,32510,22868,2,J1772,<8 kW
28,32521,22879,2,J1772,<8 kW
29,32522,22880,2,J1772,<8 kW
30,32529,22887,2,J1772,<8 kW
31,32697,22888,1,J1772,<8 kW
32,32555,22913,2,J1772,<8 kW
33,32566,22924,2,J1772,<8 kW
34,32567,22925,2,J1772,<8 kW
35,32570,22928,2,J1772,<8 kW
36,32571,22929,2,J1772,<8 kW
37,32738,22930,1,J1772,<8 kW
38,32669,22843,1,J1772,<8 kW
39,32670,22844,1,J1772,<8 kW
40,32671,22845,1,J1772,<8 kW
41,32488,22846,2,J1772,<8 kW
42,32673,22847,1,J1772,<8 kW
43,32674,22848,1,J1772,<8 kW
44,32675,22849,1,J1772,<8 kW
45,32676,22850,1,J1772,<8 kW
46,32493,22851,2,J1772,<8 kW
47,32678,22852,1,J1772,<8 kW
48,32684,22867,1,J1772,<8 kW
49,32685,22868,1,J1772,<8 kW
50,32689,22879,1,J1772,<8 kW
51,32690,22880,1,J1772,<8 kW
52,32523,22881,1,J1772,<8 kW
53,32478,22836,1,J1772,<8 kW
54,32479,22837,1,J1772,<8 kW
55,32480,22838,1,J1772,<8 kW
56,32481,22839,1,J1772,<8 kW
57,32696,22887,1,J1772,<8 kW
58,32530,22888,2,J1772,<8 kW
59,32722,22913,1,J1772,<8 kW
60,32666,22834,1,J1772,<8 kW
61,32733,22924,1,J1772,<8 kW
62,20815,13760,1,J1772,<8 kW
63,20895,13766,1,J1772,<8 kW
64,20911,13768,1,J1772,<8 kW
65,19357,13771,2,J1772,<8 kW
66,21083,13773,1,J1772,<8 kW
67,21084,13774,1,J1772,<8 kW
68,19572,13780,2,J1772,<8 kW
69,21175,13781,1,J1772,<8 kW
70,21176,13782,1,J1772,<8 kW
71,21335,13786,1,J1772,<8 kW
72,19953,13827,2,J1772,<8 kW
73,21543,13828,1,J1772,<8 kW
74,21544,13829,1,J1772,<8 kW
75,19956,13830,2,J1772,<8 kW
76,19968,13831,2,J1772,<8 kW
77,20001,13832,2,J1772,<8 kW
78,21588,13833,1,J1772,<8 kW
79,21607,13835,1,J1772,<8 kW
80,21663,13842,1,J1772,<8 kW
81,20084,13843,2,J1772,<8 kW
82,21666,13844,1,J1772,<8 kW
83,21678,13845,1,J1772,<8 kW
84,21679,13846,1,J1772,<8 kW
85,20099,13847,2,J1772,<8 kW
86,30039,19248,1,J1772,<8 kW
87,30040,19249,1,J1772,<8 kW
88,29733,19358,2,J1772,<8 kW
89,30138,19359,1,J1772,<8 kW
90,30139,19360,1,J1772,<8 kW
91,30140,19361,1,J1772,<8 kW
92,30131,19342,1,J1772,<8 kW
93,30150,19371,1,J1772,<8 kW
94,30151,19372,1,J1772,<8 kW
95,30153,19374,1,J1772,<8 kW
96,29750,19375,2,J1772,<8 kW
97,30155,19376,1,J1772,<8 kW
98,30157,19378,1,J1772,Undesignated
99,30158,19379,1,J1772,<8 kW
100,30159,19380,1,J1772,<8 kW
